Code,S3,S2,S1,S1,S2,S3,Weight class
TgAv,10,18,24,36,36.1,36.1,1
TmMaxXm,21,26,30,40,45,50,
TmAv2,10,18,24,36,42,45,2
TmMinAv4,7,10,14,25,28,30,
