Code,S3,S2,S1,S1,S2,S3,Weight class
CFragm,35,15,3,,,,3
SoilDpt,20,50,75,,,,3
CaCO3,25,15,6,,,,3
Gyps,25,10,3,,,,3
CECc,10,12,16,,,,3
BS,20,35,50,,,,2
SumBCs,1.6,2.8,4,,,,3
OC,0.7,0.8,1.5,,,,2
ECedS,6,4,2,,,,3
ESP,40,30,20,,,,3
pHH2O,4.5,5,5.5,8.2,8.5,8.8,3
SoilTe,3,4,9,,,,2
