Code,S3,S2,S1,S1,S2,S3,Weight class
WgAv,200,250,350,1250,1500,1750,
WmAv2,8,12,20,120,,,
WmAv3,10,15,30,120,,,
WmAv4,9.9,10,30,100,200,,
