Code,S3,S2,S1,S1,S2,S3,Weight class
WyAv,800,1000,1200,3000.1,,,
WmDryLen,6,5,4,0,0,0,
WmhColdXm,90.1,90,60,,,,
WmhAv4,90.1,90,70,30,29.9,29.9,
WmhAv3,50.1,50.1,50,90,90.1,90.1,
