Code,S3,S2,S1,S1,S2,S3,Weight class
WmAv1,20,30,45,,,,
WmAv2,50,65,80,,,,
WmAv3,50,65,80,,,,
WmAv4,0,0,20,100,,,
TgAvDlen,0,13,16,,,,
