Code,S3,S2,S1,S1,S2,S3,Weight class
CFragm1,35,15,3,,,,2
CFragm2,55,35,15,,,,3
SoilDpt,50,75,100,,,,2
CaCO3,10,5,1,,,,3
Gyps,2,1,0.2,,,,3
CECc,15.9,15.9,16,,,,3
BS,20.1,20.1,20,,,,3
SumBCs,2.1,2.1,2,,,,3
pHH2O,4.5,4.8,5.2,7,7.6,8.2,3
OC,0.9,0.9,0.8,,,,3
ECedS,4,3,2,,,,3
SoilTe,3,4,9,,,,2
