Code,S3,S2,S1,S1,S2,S3,Weight class
CFragm,35,15,3,,,,2
SoilDpt1,55,35,15,,,,
SoilDpt,20,40,60,,,,2
CaCO3,30,15,10,,,,2
CECc,16,16,16,,,,3
BS,34.9,34.9,35,,,,3
SumBCs,1.9,2,3.5,,,,3
pHH2O,4.8,5.2,5.6,7,8,8.2,3
OC,0.7,0.8,1.2,,,,3
ECedS,6,5,3,,,,3
ESP,45,35,25,,,,3
SoilTe,2,4,9,,,,1
