Code,S3,S2,S1,S1,S2,S3,Weight class
Slope1,6,4,2,,,,
Slope2,16,8,4,,,,
Slope3,30,16,8,,,,
Flood,2.5,2,1,,,,
Drainage4,4,3,2,,,,
Drainage5,4,1,2,,,,
SlopeD,4,3,2,,,,
SoilTe,1,3,8,,,,
