Code,S3,S2,S1,S1,S2,S3,Weight class
CFragm,,,,,,,
SoilDpt,50,75,100,,,,1
CaCO3,,,,,,,
Gyps,,,,,,,
CECc,12,13,15,,,,3
BS,20,29,35,,,,3
SumBCs,1.5,1.6,2.9,,,,3
pHH2O,4.2,4.5,4.9,6.4,7.4,8.2,3
OC,0.8,1.2,1.3,,,,3
