Code,S3,S2,S1,S1,S2,S3,Weight class
WyAv,250,500,1000,,,,
WmDryLen,8,7,6,3,2,1,
WmAvDry,100.1,100,60,,,,
WyhAv,80.1,80.1,80.1,42,36,30,
WmnN4,0.4,0.4,0.5,,,,
