Code,S3,S2,S1,S1,S2,S3,Weight class
CFragm,35,15,3,,,,
CECc,16,16,16,,,,
BS,20,35,50,,,,
SumBCs,1.6,2.8,4,,,,
pHH2O,4.5,5,5.5,8.2,8.5,9,
OC,0.7,0.8,1.5,,,,
