Code,S3,S2,S1,S1,S2,S3,Weight class
WyAv,800,1000,1200,1800,2000,,
WmDryLen,0,0,1,4,5,6,
WmhDryXm,20,30,40,70,80,90,
WmnN5,0,0,0.5,,,,
