Code,S3,S2,S1,S1,S2,S3,Weight class
WgAv,250,300,350,600,1000,,
WmhAv2,30,36,42,75,90,,
WmhAv3,19.9,20,24,75,90,,
WmnN2,0.34,0.34,0.35,0.75,0.76,,
WmnN4,0.4,0.5,0.7,,,,
