Code,S3,S2,S1,S1,S2,S3,Weight class
TyAv,39,36,33,19,16,13,1
TmMax38,6,4,2,,,,
TmMin13,6,4,2,,,,
TyMinAb,-9,-6,-2,,,,
TyMinAb,-9.5,-7.5,-4,,,,
TyMinAb,-9.5,-7.5,-4,,,,
TyMinAb,-12,-8.5,-5.5,,,,
TmAv3,-5,5,10,,,,
