Code,S3,S2,S1,S1,S2,S3,Weight class
TgAv,20,22,24,,,,1
TgMaxAv,24,26,28,,,,2
TmMaxXm,29.9,29.9,30,,,,
TmAv2,19.9,20,25,,,,2
TdAvg3,40.1,40,35,,,,
TdMinN3,27.1,27,22,,,,
