Code,S3,S2,S1,S1,S2,S3,Weight class
CFragm,55,35,15,,,,
SoilDpt,50,75,100,,,,
BS,19.9,19.9,20,,,,
SumBCs,1.5,1.5,1.6,,,,
OC,0.7,0.7,0.8,,,,
ECemh,20,16,12,,,,
