Code,S3,S2,S1,S1,S2,S3,Weight class
CFragm,55,35,15,,,,
SoilDpt,25,50,75,,,,
CaCO3,50,35,25,,,,
Gyps,20,10,6,,,,
CECc,16,16,16,,,,
BS,14.9,15,35,,,,
SumBCs,1.9,2,                    ,,,,
pHH2O,5.2,5.4,5.6,7.6,8,8.2,
OC6,0.7,0.7,0.8,,,,
ECedS,8,6,4,,,,
ESP,45,35,25,,,,
