Code,S3,S2,S1,S1,S2,S3,Weight class
WgAv,150,200,300,600,800,,
WmAv1,50,75,100,,,,
WmAv2,50,75,100,,,,
WmAv4,119.9,119.9,120,,,,
WmhAv4,85,70,65,,,,
