Code,S3,S2,S1,S1,S2,S3,Weight class
CFragm,75,55,35,,,,3
SoilDpt,80,100,120,,,,1
Gyps,25,20,15,,,,3
CECc,16,16,16,,,,3
BS,34.9,35,50,,,,2
SumBCs,1.9,2,3.5,,,,3
pHH2O,5.5,5.8,6.2,8,8.2,8.5,2
OC,0.3,0.4,0.8,,,,3
ECedS,20,16,12,,,,3
ESP,45,35,25,,,,3
