Code,S3,S2,S1,S1,S2,S3,Weight class
WyAv,400,500,650,1500,1700,,
WmDryLen,2,1,1,,,,
WmhAv4,85.1,85,75,,,,
WmnN2,0.34,0.34,0.35,0.75,,,
WmnN4,0.4,0.4,0.5,,,,
