Code,S3,S2,S1,S1,S2,S3,Weight class
CFragm,55,35,15,,,,
SoilDpt,20,30,50,,,,
CaCO3,60,40,30,,,,
Gyps,20,10,5,,,,
CECc,16,16,16,,,,
BS,34.9,35,50,,,,
SumBCs,2,3.5,5,,,,
pHH2O,5.5,5.8,6.2,8,8.2,8.5,
OC6,0.7,0.8,1.2,,,,
OC7,0.3,0.4,0.8,,,,
OC8,0.3,0.3,0.4,,,,
ECedS,20,16,12,,,,
ESP,45,35,25,,,,
