Code,S3,S2,S1,S1,S2,S3,Weight class
CFragm,55,35,15,,,,3
SoilDpt,20,50,75,,,,2
CaCO3,25,20,12,,,,2
Gyps,3,1,0.5,,,,3
CECc,16,16,16,,,,3
BS,19.9,20,35,,,,3
SumBCs,1.9,2,3.5,,,,3
pHH2O,5.2,5.4,5.6,7.6,8,8.2,2
OC,0.7,0.8,1.2,,,,3
ECedS,2,1.5,1,,,,3
ESP,12,8,5,,,,3
SoilTe,12,9,6,,,,2
