Code,S3,S2,S1,S1,S2,S3,Weight class
CFragm,55,35,15,,,,3
SoilDpt,20,50,60,,,,2
CaCO3,35,25,15,,,,3
Gyps,20,10,4,,,,2
CECc,16,16,16,,,,3
BS,19.9,20,35,,,,3
SumBCs,1.9,2,3.5,,,,3
pHH2O,5.5,5.8,6,7.8,8,8.2,2
OC,0.7,0.7,0.8,,,,3
ECedS,10,7,4.5,,,,3
ESP,25,20,15,,,,3
SoilTe,3,4,9,,,,2
