Code,S3,S2,S1,S1,S2,S3,Weight class
CFragm,55,35,15,,,,3
SoilDpt,25,50,100,,,,1
CaCO3,1,0,0,,,,2
Gyps,0.2,0,0,,,,2
CECc,16,16,16,,,,3
BS,50,35,15,,,,2
SumBCs,1.5,1.5,1.6,,,,3
pHH2O,3,3.8,4.5,5.5,5.8,6,2
OC,0.7,0.8,1.5,,,,2
ECedS,4,3,2,,,,3
ESP,15,10,8,,,,3
SoilTe,2,4,9,,,,2
