Code,S3,S2,S1,S1,S2,S3,Weight class
CFragm,55,35,15,,,,
SoilDpt,60,75,90,,,,
CaCO3,20,10,5,,,,
Gyps,5,3,2,,,,
CECc,16,16,16,,,,
BS,19.9,20,35,,,,
SumBCs,1.5,1.6,2.8,,,,
pHH2O,5.2,5.7,6,7,7.6,8.2,
OC,0.7,0.8,1.2,,,,
ECedS,7,4.5,1.5,,,,
ESP,50,35,20,,,,
