Code,S3,S2,S1,S1,S2,S3,Weight class
Slope1,6,4,2,,,,
Slope2,16,8,4,,,,
Slope3,30,16,8,,,,
Flood,2.5,2,1,,,,1
Drainage4,4,3,2,,,,2
Drainage5,4,1,2,,,,2
SlopeD,5,4,2,,,,2
