Code,S3,S2,S1,S1,S2,S3,Weight class
WgAv,300,400,500,1200,1600,,
WmAv1,60,75,100,295,400,475,
WmAv2,10,120,150,310,400,475,
WmAv3,70,120,150,310,400,475,
WmAv4,60,80,100,285,400,475,
WmhAv2,30,36,42,,,,
WmhAv3,19.9,20,24,75,90,,
WmnN2,0.34,0.34,0.35,0.75,0.76,,
WmnN4,0.4,0.4,0.5,,,,
