Code,S3,S2,S1,S1,S2,S3,Weight class
CFragm,55,33,15,,,,
SoilDpt,50,75,100,,,,
CaCO3,10,4,1,,,,
CECc,16,16,16,,,,
BS,19.9,20,35,,,,
SumBCs,1.5,1.6,2.8,,,,
pHH2O,4.3,4.6,5,6.5,7.5,8.3,
OC,0.7,0.8,1.2,,,,
ECedS,5,4,3,,,,
ESP,20,15,10,,,,
