Code,S3,S2,S1,S1,S2,S3,Weight class
CFragm,55,35,15,,,,
SoilDpt,20,30,50,,,,
CaCO3,20,10,5,,,,
Gyps,5,3,2,,,,
CECc,16,16,16,,,,
BS,19.9,20,35,,,,
SumBCs,0.7,0.8,1.2,,,,
pHH2O,5.5,5.8,6,7.8,8,8.2,
OC,0.7,0.8,1.2,,,,
ECedS,5,3,2,,,,
ESP,50,35,20,,,,
