Code,S3,S2,S1,S1,S2,S3,Weight class
Slope1,6,4,2,,,,
Slope2,16,8,4,,,,
Slope3,30,16,8,,,,
Flood,2.5,2,1,,,,
Drainage,3,2,1,,,,
