Code,S3,S2,S1,S1,S2,S3,Weight class
CFragm,55,35,15,,,,
SoilDpt,30,50,75,,,,
CECc,16,16,16,,,,
BS,19.9,20,35,,,,
SumBCs,1.5,1.6,2.8,,,,
pHH2O,5,5.5,6,6.6,6.6,6.6,
OC,0.7,0.8,1.2,,,,
ECedS,4,3,2,,,,
ESP,25,20,15,,,,
