Code,S3,S2,S1,S1,S2,S3,Weight class
TgAv,13,16,18,26,30,35,1
TmAv0,10,12,16,30,32,35,2
TmAv3,12,14,16,22,27,32,2
TdDiff3,2.9,3,4,9,11,11.1,
