Code,S3,S2,S1,S1,S2,S3,Weight class
CFragm,55,35,15,,,,2
SoilDpt,50,75,100,,,,1
CaCO3,1,0,0,,,,3
Gyps,0.5,0,0,,,,3
CECc,16,16,16,,,,3
BS,19.9,19.9,20,,,,3
SumBCs,1.5,1.6,2.8,,,,3
pHH2O,4.5,5,5.3,6,6.5,7,3
OC,0.7,0.7,0.8,,,,3
ECedS,2,1,1,,,,3
