Code,S3,S2,S1,S1,S2,S3,Weight class
CFragm,55,35,15,,,,
SoilDpt,50,75,100,,,,
CaCO3,1,0,0,,,,
Gyps,0.2,0,0,,,,
BS,80,50,35,,,,
SumBCs,6.5,4,3.2,,,,
pHH2O,4,4.5,5,6,6.5,7,
OC,1.1,1.1,1.1,,,,
ECedS,2,1,0.5,,,,
SoilTe,3,4,6,8,9,,
