Code,S3,S2,S1,S1,S2,S3,Weight class
Slope1,6,4,2,,,,
Slope2,25,16,8,,,,
Slope3,50,30,16,,,,
Flood,1,1,1,,,,1
Drainage,3,2,1,,,,
SlopeD,4,3,2,,,,2
