Code,S3,S2,S1,S1,S2,S3,Weight class
CFragm,55,35,15,,,,
SoilDpt,25,50,100,,,,
BS,19.9,19.9,20,,,,
SumBCs,1.5,1.5,1.6,,,,
pHH2O,4.5,4.8,5.2,7.5,8,8.5,
OC,0.7,0.7,0.8,,,,
ECedS,4,3,2,,,,
ESP,0,0,15,,,,
